Year,Road traffic death rate,Country Code,GDP,Suicide rate,Deaths,Country,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Literarcy rate,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
2011,9.7,BHR,28776.5957446809,6.88,1.927,Bahrain,0.20667573264,0.835195784842,0.261233617890999,4.63185554729,1.73068654184,3.95765313344,0.743791816187,92.3,1212086,18205.0,91096,249111,429578
2010,10.8,BHR,25713.2712765957,7.16,1.883,Bahrain,0.206613936367,0.835065277055,0.26004018021,4.632368819,1.73099921447,3.97991302697,0.744554004412,94.55679,1213655,17777.0,90051,248194,434323
2001,17.3,BHR,8976.19680851064,8.9,2.516,Bahrain,0.204625509843,0.834107080246999,0.255407259854,4.71322502135999,1.73889127612,4.29912156461,0.737992993336,86.54874,730263,14063.0,71978,209579,342029
2017,15.6,BGD,293754.781336,3.68,5.442,Bangladesh,0.252599547699,0.583419095880999,0.137974267122,4.28398850162,0.512800136118,4.11061130998999,1.46219797003,72.89297,161793970,2939690.0,14665458,46647830,78621704
2016,15.8,BGD,265236.390328627,3.6,5.632,Bangladesh,0.252249391542,0.583180865091,0.135428736071,4.27926757321999,0.510254331702,4.13692262655,1.46057636846,72.75872,159784580,2951693.0,14694691,47168636,78736970
2015,15.8,BGD,195078.57325220198,3.64,5.776,Bangladesh,0.251929181868,0.582941849948,0.132743894757,4.27440007342,0.508197883214,4.16087254729,1.45762592628,65.13733,157830000,2953299.0,14761756,47666620,78862340
2014,15.9,BGD,172885.43268694502,3.73,5.891,Bangladesh,0.251651243357,0.582720348309,0.130461779708,4.26945912061,0.505449702821,4.18241274481,1.45360847555,61.0933,155961310,2970305.0,14908091,48143480,79012160
2013,15.9,BGD,149990.52983678,3.8,5.975,Bangladesh,0.251417799878,0.582513585822,0.128099005544,4.26444736144,0.504134553674,4.19910297476,1.44870088965,61.01554,154030140,2973001.0,15119184,48568870,79078740
2012,15.9,BGD,133355.820262925,4.0,5.868,Bangladesh,0.25123143376,0.582322163013,0.125936906946,4.25942678797,0.502252618273999,4.21367238455,1.44310105111,57.86075,152090660,2981026.0,15405788,48966076,79098856
2011,16.8,BGD,128637.983882833,4.34,6.112,Bangladesh,0.251094273544999,0.582140857998,0.123680879971,4.25423160876,0.50064052453,4.22136714926,1.43702919026,58.76918,150211000,3031713.0,15746514,49300536,79108170
2007,16.9,BGD,79611.88821314799,5.48,6.793,Bangladesh,0.250968023996999,0.581600189964,0.11568842921,4.2487038923,0.497624311658,4.22698762907,1.38928192479,46.6636,144135940,3357599.0,17053340,49792760,79116456
2001,12.0,BGD,53991.289844329105,6.45,6.75,Bangladesh,0.250773494020999,0.579917467836,0.108645468133,4.19649194257,0.497556482681,4.23266110161,1.35038361307,47.4855,131670490,3576976.0,17112060,48483068,76202190
2002,11.3,BRB,3106.5,0.291,9.296,Barbados,0.230032200281,0.918272092235,0.321795595469,4.66200247831,0.850211189229,2.71653089393,1.5772734002,99.7,266467,3670.0,18621,57178,95815
2015,10.1,BLR,56454.8891466088,19.5525,12.6,Belarus,0.196994583973,0.699352848856,0.207219128715,2.94707391204,0.784655622923999,4.03880111366,5.41236618438,99.72204,9700609,119700.0,583761,1579915,2613412
2009,19.5,BLR,50873.167326041395,30.4129,14.1,Belarus,0.194306241063,0.697768856368,0.187939753731,2.94246685472,0.780240202376,4.10744183213,5.46135672097,99.61706,9757710,110287.0,506213,1440435,2861404
2003,12.0,BEL,318082.528506588,17.8873,10.3,Belgium,0.259752230979,0.956505002546,0.564025847756999,5.23541179864999,0.849209103234,3.900359671,1.47364853368,99.0,10402550,113561.0,577585,1807364,3066651
2015,25.5,BLZ,2194.70930924204,6.87,4.7,Belize,0.194729872503,0.880892941723,0.257195297506,4.5620883979,0.832549767577,2.83754641722,1.77152365033,82.77682,359884,7708.0,37541,114345,188185
2001,37.5,BLZ,1168.1279739434901,8.19,5.936,Belize,0.193470019004,0.876337773341,0.238860620459999,4.52463830017,0.850902853333,2.83040858858,1.73199923285,80.9,248109,7231.0,34997,97968,148452
2015,27.3,BEN,11388.1609971089,13.3759,9.857,Benin,0.170013406325999,0.639663560994,0.118820720178,2.90189099532,0.499514485503,3.62730843625,0.989686813009,38.44714,10932791,400836.0,1836009,4718567,6866494
2012,27.4,BEN,11141.3581158991,13.9407,10.224,Benin,0.169576759458,0.638943098816,0.116496239832,2.89900774146,0.493308390871,3.62400771598,0.990418166379,32.94882,10014087,366901.0,1689330,4347083,6328043
2006,28.1,BEN,7034.1113148881195,14.5722,11.128,Benin,0.168477738225,0.637459484437,0.114168094521,2.9007737555,0.482757348784,3.61741402923,0.988204324891999,28.70211,8402635,319899.0,1453731,3721627,5377203
2002,28.7,BEN,4194.3426862178,14.8633,11.77,Benin,0.167574783477,0.636763708114999,0.111337801686,2.90234369406,0.472666421834,3.60359649998,0.987261574515999,34.65785,7431787,284798.0,1297654,3334339,4780549
2017,15.7,BTN,2591.35811448376,5.14,6.94,Bhutan,0.267637210022,0.595887021542,0.172339624531,3.80143151955,0.534974457794,3.43933373821999,2.37437288081999,66.56115,756130,11200.0,59422,195235,346483
2015,15.1,BTN,2003.59683878013,5.16,6.759,Bhutan,0.267006219234,0.595128690665999,0.167915448189,3.79697123285,0.530377088786,3.4205146723,2.35685290489999,63.90682,743284,11851.0,62806,200882,356359
2012,15.3,BTN,1781.28018155431,5.22,6.689,Bhutan,0.265831132641,0.593621189252,0.160716166864999,3.78786326059,0.523479038087,3.40453438738,2.32632778677,55.31756,721154,12975.0,64905,205525,365677
2005,13.4,BTN,796.938571960642,5.99,7.473,Bhutan,0.26208473033,0.588900925124999,0.142462923278,3.76044214022,0.501488003609,3.45509404945,2.23312346186,52.81469,663332,13942.0,67946,220608,372010
2015,18.8,BOL,33000.1982489146,7.2,7.216,Bolivia,0.192922231019,0.852941926024,0.295720198386,4.23998533517,0.898802406517999,3.1029017816,1.60897527134,92.45508,11090090,256411.98,1266642,3667912,5867278
2012,23.0,BOL,27084.4974819103,6.9,7.433,Bolivia,0.191688517962,0.851445010199,0.283331153101999,4.23587582369,0.911483267908,3.1252266494,1.61810037643,94.46057,10569697,255882.0,1256774,3608259,5741996
2011,17.5,BOL,23963.164696592,7.05,7.496,Bolivia,0.191377254755,0.851073633534,0.279906523189,4.23486285878,0.912915259365999,3.13025864529,1.62064258813,92.22615,10396249,255433.0,1252358,3585506,5692010
2009,16.6,BOL,17339.9921937322,6.99,7.788,Bolivia,0.190887151618,0.850530546901999,0.27517256583,4.23341997319,0.91114938088,3.13868992626,1.62424162799,91.16783,10051322,253926.0,1236457,3538657,5579049
2008,17.2,BOL,16674.2762858956,7.01,7.995,Bolivia,0.190613371393,0.850250586703,0.271691518892,4.23261366931,0.908872908841,3.14240183758999,1.62468805783,90.69811,9880593,253295.0,1226767,3515265,5516904
2007,15.0,BOL,13120.1080083477,7.17,8.204,Bolivia,0.190344003712,0.849985811608,0.269401259219,4.23190343605,0.904165533853,3.14613262075,1.62520180995999,90.74347,9711155,252683.0,1216576,3491955,5451589
2001,14.8,BOL,8141.51692839489,8.05,9.636,Bolivia,0.189737514065999,0.850701068484,0.260613703069,4.23961562692,0.883062417041,3.20332811359,1.68518400478,86.72367,8746087,243736.0,1178815,3337376,5033714
2015,15.8,BIH,16404.3488714437,8.33,12.011,Bosnia and Herzegovina,0.200321979432999,0.717640650472,0.169896733472,3.40163773741,0.433850873867,2.32162166711,2.84122991068,98.48576,3524328,31761.0,170036,531981,979467
2014,15.5,BIH,18558.7335644692,8.2,12.276,Bosnia and Herzegovina,0.200120864897,0.717380447774,0.1685894552,3.40130127738,0.433845618024,2.32541467962,2.84540106919,98.37765,3571070,32405.998,173956,543160,1008051
2013,15.4,BIH,18179.1085305261,8.23,11.055,Bosnia and Herzegovina,0.199912238223,0.717111241973,0.167328262534,3.40092886757,0.433727370202,2.32968946152,2.84830433643,96.99177,3617564,33659.0,177594,557359,1038171
2011,14.9,BIH,18644.2335371093,8.35,9.851,Bosnia and Herzegovina,0.199507880622,0.716609893348,0.16395437037,3.40025153501999,0.431849857151,2.34402317072,2.85139340222,98.14204,3743143,35474.0,182421,592031,1097149
2000,19.0,BIH,5567.77276881188,8.13,8.358,Bosnia and Herzegovina,0.194910082382,0.712181244917,0.131280487838,3.37929036291999,0.402654175019,2.58712181892,2.76623720331,96.6631,4179355,42791.0,233147,820171,1548063
2015,24.8,BWA,13530.748844504998,24.5486,7.435,Botswana,0.180995837538,0.638261580548,0.223224652667,3.50287642255,0.748598365039,3.98647987149,1.6220299354,88.22441,2305177,58798.0,285833,789205,1233157
2014,24.2,BWA,15470.0885007414,25.3485,7.927,Botswana,0.18055575848,0.637921342609,0.220570065432,3.50151245193,0.745839900057,3.99397263034999,1.62407748691,87.70751,2260383,58419.0,283132,777174,1220505
2013,20.9,BWA,14271.7389332042,27.7511,8.157,Botswana,0.180136298426,0.637560222232,0.217750665897,3.50017661115,0.741731075397,4.00240096659,1.6250424657,86.82318,2217285,57983.0,280084,764735,1208823
2003,31.7,BWA,7511.58217337724,40.3419,13.409,Botswana,0.176549049409,0.634046649143,0.19896444302,3.49245858668,0.694838867235,4.05490531829999,1.59114669038,81.18871,1826866,49101.0,234396,682041,1105489
2017,18.7,BRA,2063514.97733432,6.19,6.493,Brazil,0.205534039798,1.10691471224,0.277050765272,6.06917950422,1.0616813337,3.29736759001,2.68358050526,93.07582,208504960,2894348.0,14649912,45345190,79328880
2016,19.9,BRA,1795693.48265252,5.67,6.538,Brazil,0.205391074121,1.10698793387,0.275301334883,6.1394005673,1.05830996893,3.30464284359,2.69027707823,92.80844,206859580,2927802.0,14722813,45739960,79860410
2015,20.8,BRA,1802212.20690468,5.6,6.433,Brazil,0.205234704024,1.10698785991,0.273366095081,6.20415785632999,1.05404110860999,3.31942305089,2.69587480745,92.0479,205188210,2974118.0,14788353,46162724,80401576
2014,23.6,BRA,2456043.72719885,5.4,6.272,Brazil,0.205072625678,1.10692794334999,0.271347560675999,6.2619134536,1.04978149409999,3.34201096917,2.70051110111,91.72943,203459650,2944284.0,14817687,46588376,80939040
2013,23.1,BRA,2472819.53574273,5.41,6.31,Brazil,0.204906814340999,1.10680527883,0.269345638401,6.31110004421,1.04511949042,3.37192561027,2.70413027058,91.48424,201721780,2936032.0,14887399,47088030,81529976
2012,24.8,BRA,2465227.8030115697,5.29,6.34,Brazil,0.204739862455,1.10661819194,0.267234124827,6.35015699521999,1.04060043846999,3.40806810989,2.70670726982,91.33785,199977710,2969480.0,14993664,47621250,82157180
2011,24.5,BRA,2616156.2239774703,5.19,6.283,Brazil,0.204577662085,1.10637825658,0.264975340301,6.37756734187,1.03656389652,3.44954699125,2.70826979363,91.41124,198185300,2994666.0,15116511,48123830,82777790
2010,24.3,BRA,2208837.74521423,5.0,6.199,Brazil,0.204423211844999,1.10608031534,0.262812324271,6.39171075951,1.03236682932,3.49715873498,2.70881435731,90.37918,196353500,3003747.0,15266771,48606840,83398430
2009,22.2,BRA,1666996.43868146,5.19,6.155,Brazil,0.204172001722,1.10551678732,0.260295691906999,6.39633572646999,1.02453805594,3.58845359621,2.70694084042,90.29821,194517550,3015724.0,15441728,49077876,84041736
2008,22.6,BRA,1695855.08355205,5.22,6.106,Brazil,0.203790466328,1.10467875849,0.25715808718,6.39737979183,1.01186823264,3.73573007167,2.70230192193,90.03662,192672320,3045555.0,15611818,49528440,84690184
2007,22.5,BRA,1397114.4864713799,5.05,6.119,Brazil,0.203373135735,1.1037564665,0.254080770465,6.3957061326,0.99787686446,3.89557776026,2.69648451861,90.00937,190779460,3096576.0,15793420,49942932,85300136
2006,21.8,BRA,1107626.54171074,4.9,6.123,Brazil,0.203019718135,1.10297273478,0.251311211814,6.39237249357999,0.986063389609,4.02739501746,2.69115054707,89.61523,188820690,3149597.0,16003825,50322184,85831670
2004,22.2,BRA,669289.424806307,4.73,6.258,Brazil,0.20271648395,1.10216690104,0.248581213523,6.36707933841999,0.976691274051,4.10272887327,2.69026534615,88.61624,184722050,3189617.0,16457217,51052132,86609550
2000,19.7,BRA,655448.231983527,4.47,6.399,Brazil,0.202348000287,1.10088203698,0.245153273495,6.12547861321,0.962272824204,4.09777614649,2.70023834742,86.36788,175873710,3425032.0,17313344,52470190,86907760
2015,10.1,BGR,50811.9956886771,6.77,15.3,Bulgaria,0.201824375428,0.630306333333,0.198616120029999,3.58723065108,0.696689861295,2.53986237527,1.83205280642,98.38858,7309255,67113.0,349979,1031391,1735633
2011,9.2,BGR,57737.040780015705,7.9,14.7,Bulgaria,0.200470096825,0.629481244013,0.190407423808,3.58798912724999,0.680423493348,2.54570943017,1.83854100659999,98.35245,7543128,74635.0,392820,1046043,1915982
2001,13.2,BGR,14183.4460257389,13.158,14.0,Bulgaria,0.196385969451,0.626997680434999,0.164235519228,3.57108136592999,0.640745746714,2.7096939226,1.77464061271,98.20356,8034863,68958.0,337033,1222013,2357263
2015,30.4,BFA,11832.1593156298,15.4435,9.634,Burkina Faso,0.163992185088,0.621010798405999,0.111105079395,2.89429882017,0.435488853629,3.64804221127999,0.996358010875,37.7467,18718022,713102.0,3341603,8526725,12167786
2014,30.2,BFA,13943.016076743601,15.6562,9.96,Burkina Faso,0.163652252416,0.620583184433,0.109382652564,2.89210012579,0.432363373798,3.62919158839,0.994058432288,34.5994,18169844,705383.0,3277683,8293005,11832264
2007,29.6,BFA,7625.72283676847,15.8893,12.633,Burkina Faso,0.162077733653,0.619499771374,0.103637091660999,2.89134379458,0.41722970238,3.61144856706999,0.98317232267,28.29366,14757072,607602.0,2692815,6700249,9712477
2006,29.4,BFA,6547.41982038113,15.9392,13.065,Burkina Faso,0.161861924466999,0.619442234609,0.102841942413,2.8927679242,0.416284458898,3.61607664476999,0.981729756525999,22.47258,14316247,588653.0,2602489,6499771,9441029
2005,29.2,BFA,6146.35317334929,15.8658,13.499,Burkina Faso,0.161687090128,0.619354354853,0.102201330639,2.89344099553,0.415149720453,3.61828186867,0.980768464938,23.5222,13876134,568646.0,2518882,6310707,9174539
2003,28.4,BFA,4740.7681426749405,15.7815,14.435,Burkina Faso,0.161158399563,0.618991931838999,0.100334933191999,2.89368467735,0.412229464839,3.60122737764,0.979403967087,21.82292,13030600,535605.0,2372392,5970280,8665393
2017,34.9,BDI,2723.58696284034,12.4632,7.772,Burundi,0.154394080898,0.613041852212,0.0908023408812,3.58576009808999,0.5000843212,3.72122770632,1.56930932534,68.37533,11155592,412630.0,2059281,5323288,7260435
2015,34.4,BDI,3104.00354626497,12.7543,8.553,Burundi,0.153771832624,0.612157077724,0.0893091621034,3.57412115137,0.496274728237999,3.72327080563,1.57559289329999,85.49609,10727153,427320.0,2051917,5020548,6960423
2014,33.6,BDI,2705.78332980483,13.139,8.798,Burundi,0.153514115068,0.611737565272999,0.0886371458246,3.56974656866,0.494839699702,3.72760695507,1.57807058145,61.51349,10494920,424933.0,2023530,4845018,6804450
2008,33.0,BDI,1611.8358570458802,15.6584,11.316,Burundi,0.152812815626,0.610069605892,0.086816005601,3.56872270397,0.487983174358999,3.80452232734,1.57875152543,48.08406,8278112,357958.0,1584420,3729242,5564538
2000,30.3,BDI,870.486065883137,23.428,15.907,Burundi,0.152424225528,0.607837195522,0.0885532514305,3.59956821701,0.492693901424,4.08325449864,1.60679795313,59.30362,6307665,246781.0,1125067,3040201,4419916
2015,23.2,CIV,45815.005170815006,17.7148,9.543,Cote d'Ivoire,0.168988888419,0.618876459614,0.131671946806999,2.87030436168,0.503559184226,3.29671165022,1.0139536681,43.26532,23596738,808122.0,3834220,10292202,14993210
2014,23.0,CIV,48843.0056255796,18.5472,9.847,Cote d'Ivoire,0.168505700401,0.618243327497,0.12911969722,2.86712451273,0.503607800892,3.2802380399,1.0157449862,43.90842,22995554,797122.0,3786348,10092219,14644549
2012,24.0,CIV,36302.3028453012,19.7371,10.517,Cote d'Ivoire,0.167773902257,0.61730355019,0.126767386948,2.86298538599,0.503570281649,3.25659419382,1.01888126906,40.98163,22010708,787638.0,3681318,9691230,14013970
2000,25.4,CIV,16577.5338911783,23.9869,14.291,Cote d'Ivoire,0.167555140439,0.615061330784,0.128377963995,2.8664499311,0.494119707418,3.26661018719,1.02672626206,48.74076,16799664,692311.0,3083000,7554676,11036894
2015,17.4,KHM,18049.954289472098,5.75,5.81,Cambodia,0.206595593975999,0.509290615363,0.105161730774,3.28751117355,0.564367235334,3.10064794611,0.839945251339,80.52649,15417527,337529.0,1660203,4762926,7662736
2014,17.3,KHM,16702.6108423529,5.8,5.756,Cambodia,0.205779406872,0.509014294727,0.103740851405999,3.28674975812999,0.560617270448,3.10351142122,0.837808356728999,78.05509,15210817,337637.0,1652055,4732419,7680385
2009,17.9,KHM,10401.8517677083,6.39,6.127,Cambodia,0.202132668487,0.508095004939999,0.0953793410247,3.28663993547,0.547151257324,3.12468294174,0.826915219181,76.13796,14155742,329863.0,1602530,4615105,7787602
2008,17.7,KHM,10351.9141774839,6.65,6.418,Cambodia,0.201394963236999,0.507961049721,0.0935686873931,3.28693674342,0.546067979506,3.1304720718,0.822863431969999,76.87129,13943897,329293.0,1588346,4635173,7801073
2004,17.6,KHM,5337.833248014341,6.6,7.273,Cambodia,0.198333750008,0.507191137431,0.0867468216723,3.28734528157,0.540723020477,3.15933493019,0.811468205249,73.60995,13016377,316390.0,1542412,4741686,7631375
2015,29.0,CMR,32210.2330204569,17.0898,9.179,Cameroon,0.1701395943,0.627574691465,0.1315001071,2.90392688484999,0.582792254201,3.75011197291,1.02742260817,74.98558,23012650,818456.0,3811870,9954414,14541412
2010,28.9,CMR,27507.501821029597,19.5067,10.992,Cameroon,0.169028309433,0.62591170568,0.128149085499,2.89616237818999,0.574610680629,3.75074725671,1.03236788707,71.29051,19878044,747010.0,3419481,8707734,12799863
2007,28.1,CMR,23928.2504330378,20.3976,11.886,Cameroon,0.168348067850999,0.623270489218,0.126902529653,2.88919188976,0.571613488482,3.73761889084,1.03003434487,70.67994,18251868,695963.0,3155265,8045750,11839603
2000,27.4,CMR,10566.579294983101,19.124,13.426,Cameroon,0.167046221293,0.621492116503999,0.1244953508,2.89047334088,0.551934317825,3.71026144124,1.03057456337,68.40916,15091598,574821.0,2587831,6827762,9884192
2003,9.1,CAN,895540.646634787,10.8902,7.1,Canada,0.314670007511,0.71637706148,0.458292999045,4.9936327372,2.31849184343,4.04682458049,1.56557876486,99.0,31619456,331619.0,1709738,5790583,10101171
2015,34.0,CAF,1695.82571419282,26.3075,12.15,Central African Republic,0.148752232448,0.592732031184,0.090660862352,3.24549574722999,0.513144322295999,4.21525697028,1.41598663351,36.75261,4819341,187869.0,893776,2349570,3338563
2010,30.5,CAF,2142.59154040068,28.1199,14.534,Central African Republic,0.148278904849,0.591829652896,0.0926032829042999,3.23754541233,0.509491718162,4.22224543801,1.42789082893,36.75261,4660066,185529.0,832550,2144306,3108712
2000,32.3,CAF,916.777282691659,32.5032,17.325,Central African Republic,0.148720738756,0.590700100247,0.0929771285387,3.23954683434,0.526866690341,4.25630454368,1.45992296582,50.64517,3759174,148167.0,665473,1719468,2452151
