Country,Year,Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
Thailand,2000,92.64654,204,39.0,11.5867,6.043,SEAR,THA,126392.224253794,63.066604,0.855626,4.659042,15.171294,25.411652
Thailand,2005,93.50647,183,38.9,8.52,6.323,SEAR,THA,189318.408468595,65.82136,0.827105,4.196117,14.051881,24.611004
Thailand,2010,96.43091,161,38.3,7.29,6.307,SEAR,THA,341104.76632917,68.27049,0.810606,4.076776,13.168815,23.213238
Thailand,2013,93.70207,211,36.0,6.59,6.547,SEAR,THA,420333.654592547,69.5786,0.795584,4.042265,12.534297,22.645824
Thailand,2015,92.86831,205,32.8,7.15,6.724,SEAR,THA,401296.238228084,70.29441,0.751912,3.9416,12.232957,22.166186
Togo,2000,53.1776,322,30.1,17.2777,11.898,AFR,TGO,1491.8911562718201,5.008043,0.180523,0.822312,2.149458,3.165897
Togo,2006,56.88837,332,31.2,19.1923,10.919,AFR,TGO,2351.5844958792,5.874244,0.206706,0.957922,2.475736,3.647802
Togo,2009,57.09338,321,31.3,18.4733,10.488,AFR,TGO,4721.88827526937,6.398626,0.225403,1.038919,2.676162,3.938358
Togo,2011,60.40994,291,31.1,18.1197,9.98,AFR,TGO,5422.43915210906,6.748675,0.23498,1.09735,2.820672,4.136167
Togo,2015,63.74562,271,29.9,16.6917,9.165,AFR,TGO,5755.45783601866,7.473232,0.244621,1.171049,3.097259,4.532031
Tonga,2006,99.01846,148,14.7,4.73,6.627,WPR,TON,292.23066239901203,0.106202,0.002954,0.014565,0.040717,0.061135
Tonga,2011,99.38553,141,8.7,5.21,6.624,WPR,TON,414.533117692299,0.107625,0.002942,0.014163,0.040257,0.060449
Tonga,2015,99.39786,135,6.9,5.3,6.782,WPR,TON,437.00307856358404,0.10614,0.002698,0.013569,0.039017,0.058791
Trinidad and Tobago,2000,97.9,202,13.6,16.1939,6.98,AMR,TTO,8154.33823295978,1.332203,0.019774,0.098239,0.343701,0.615056
Trinidad and Tobago,2004,98.28851,196,17.9,12.5825,6.493,AMR,TTO,13280.2751230354,1.36118,0.01984,0.098074,0.308183,0.588269
Trinidad and Tobago,2014,98.91949,174,14.8,9.83,6.739,AMR,TTO,29699.9687607278,1.450663,0.020079,0.101638,0.297809,0.502837
Trinidad and Tobago,2015,98.96958,173,13.1,9.54,6.797,AMR,TTO,27026.080986578,1.46018,0.01974,0.100925,0.298293,0.498549
Tunisia,2004,74.297,133,23.4,3.78,4.939,EMR,TUN,31183.885241439602,10.29223,0.168326,0.812885,2.733671,4.897002
Tunisia,2007,77.1904,131,23.7,3.57,5.076,EMR,TUN,38915.353866757,10.580399,0.176504,0.854546,2.624809,4.778234
Tunisia,2008,77.71462,129,24.0,3.47,5.169,EMR,TUN,44859.4399022191,10.680381,0.180425,0.872609,2.60289,4.739761
Tunisia,2010,79.13058,74,23.9,3.37,5.329,EMR,TUN,46206.091937962796,10.895063,0.191997,0.911373,2.593228,4.670018
Tunisia,2011,79.65391,74,23.7,3.29,5.441,EMR,TUN,48123.3258250739,11.032529,0.200993,0.937038,2.609141,4.650242
Tunisia,2012,80.21875,74,22.9,3.24,5.519,EMR,TUN,47311.4018126733,11.174384,0.208929,0.968242,2.640763,4.637413
Tunisia,2014,79.03643,74,22.8,3.1,5.715,EMR,TUN,50271.812920612,11.428953,0.216899,1.034421,2.742543,4.626151
Tunisia,2015,81.05419,73,22.9,3.03,5.811,EMR,TUN,45779.494041929494,11.557779,0.218154,1.061326,2.802116,4.631163
Turkmenistan,2005,99.4,234,17.2,15.8141,6.869,EUR,TKM,8103.90199637024,4.88578,0.103768,0.500447,1.608603,2.658754
Turkmenistan,2014,99.67285,199,16.3,7.11,6.567,EUR,TKM,43524.2105263158,5.663159,0.144608,0.675426,1.712027,2.81752
Turkmenistan,2015,99.69293,198,16.4,6.62,6.53,EUR,TKM,35799.714285714304,5.766427,0.145691,0.695013,1.754244,2.840448
Uganda,2002,68.14251,510,33.3,20.4827,14.083,AFR,UGA,6178.56359112051,25.545098,1.137836,5.127655,12.914591,17.89854
Uganda,2006,71.37314,418,31.8,20.1469,10.77,AFR,UGA,9977.64768296954,28.77323,1.234356,5.691435,14.525768,20.339396
Uganda,2010,73.21188,364,32.3,14.6431,8.832,AFR,UGA,26673.4414307857,32.341724,1.325057,6.19907,16.137675,22.96063
Uganda,2012,70.19822,335,29.5,13.2268,7.843,AFR,UGA,27305.915910787702,34.273296,1.36944,6.451535,16.960734,24.298084
Uganda,2015,73.80984,293,30.3,11.0416,6.648,AFR,UGA,32387.1837301002,37.477356,1.420344,6.800902,18.177008,26.334912
Ukraine,2001,99.43041,254,17.8,31.206,15.3,EUR,UKR,39309.5809832282,48.414536,0.359163,2.011117,8.13843,15.497511
Ukraine,2012,99.97435,211,15.5,19.0152,14.5,EUR,UKR,182591.753827949,45.406228,0.508174,2.497175,6.576073,12.356833
