,Country,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
385,Rwanda,2000,0.155649809,0.616579344,0.091589483,3.660985376,0.552112535,4.209012342,2.264423381,64.8886,451,38.0,25.5557,15.774,AFR,RWA,2068.95525283541,8.109994,0.306508,1.342824,3.737606,5.573494
386,Rwanda,2010,0.16032619,0.621823537,0.103551994,3.667728654,0.596599357,3.836344153,2.342485044,65.85227,239,34.0,11.5024,8.068,AFR,RWA,6125.21648226839,10.309032,0.341101,1.648806,4.347825,6.513996
387,Rwanda,2012,0.161203533,0.622768093,0.106536645,3.673648527,0.597996508,3.839434559,2.347482415,68.33103,219,34.2,10.5559,7.604,AFR,RWA,7655.46558974669,10.840331,0.342064,1.662339,4.524767,6.737393
388,Rwanda,2014,0.162186913,0.623905406,0.110042271,3.683434356,0.592905836,3.846173472,2.34862713,70.80413,207,29.9,10.0719,6.953,AFR,RWA,8239.7663200954,11.36845,0.35125,1.691056,4.707397,6.978484
389,Rwanda,2015,0.162693387,0.62451294,0.112159736,3.689279476,0.588300331,3.854341044,2.347620549,71.2435,203,30.2,9.89,6.724,AFR,RWA,8544.62175679813,11.642963,0.356885,1.712611,4.793717,7.106318
390,Samoa,2004,0.232635825,0.459823487,0.117845111,3.242277317,0.842420729,3.096324554,1.069300716,98.54048,161,15.1,15.1386,5.088,WPR,WSM,407.747565096959,0.188083,0.005489,0.027004,0.076832,0.109829
391,Samoa,2011,0.234870198,0.460431326,0.124440278,3.255640389,0.862062717,3.063641477,1.107893322,98.97326,158,12.8,14.7903,5.308,WPR,WSM,744.0970501691149,0.196364,0.005875,0.027875,0.076268,0.112924
392,Samoa,2015,0.235022382,0.460458515,0.12577841,3.256121658,0.853908116,3.047204141,1.110764432,99.01501,140,11.4,14.9413,5.281,WPR,WSM,824.1504986535359,0.203586,0.005942,0.029445,0.078129,0.116406
393,Saudi Arabia,2000,0.200935284,0.807309253,0.253641263,4.702724114,1.392860143,3.449859922,0.64783914,79.35094,126,17.1,3.84,3.482,EMR,SAU,189514.91022266695,21.547398,0.578295,2.852517,7.736252,12.151657
394,Saudi Arabia,2004,0.201833406,0.810386337,0.257691187,4.728063415,1.390220166,3.482955652,0.651893116,82.85774,115,23.0,3.91,2.966,EMR,SAU,258742.263029008,23.661804,0.558643,2.838403,8.194822,12.297637
395,Saudi Arabia,2013,0.204741043,0.816330203,0.279181673,4.748317153,1.643938063,3.491552131,0.677977653,94.42634,81,26.3,6.31,2.443,EMR,SAU,753864.543430248,31.482502,0.648103,3.177823,8.886589,14.08851
396,Saudi Arabia,2015,0.205256325,0.817027266,0.284658656,4.75123502,1.682436052,3.510181449,0.679554724,94.84237,90,26.2,5.95,2.542,EMR,SAU,669484.381328891,32.749838,0.638402,3.213937,9.011699,14.113256
397,Senegal,2002,0.170720295,0.644824992,0.116089125,2.894898265,0.46535953,3.277185962,0.901615113,39.27525,251,24.7,13.7296,10.423,AFR,SEN,7006.40231975856,10.180944,0.371214,1.698166,4.452204,6.608684
398,Senegal,2006,0.171478102,0.645812502,0.118782658,2.89416282,0.46417678,3.277609304,0.903607917,41.89115,240,25.3,13.0258,8.577,AFR,SEN,11697.9182430035,11.263389,0.411375,1.885734,4.872203,7.232621
399,Senegal,2009,0.171769067,0.646030814,0.12000089,2.889773125,0.463783829,3.27540814,0.916401371,48.03678,215,25.5,12.3892,7.514,AFR,SEN,16145.8674949405,12.195028,0.441375,2.050489,5.266801,7.766352
400,Senegal,2011,0.172013312,0.646311594,0.120983361,2.889812666,0.465211315,3.281262693,0.918927065,51.81455,204,25.7,12.1244,6.894,AFR,SEN,17814.2836393119,12.875878,0.462639,2.162172,5.567743,8.155702
401,Senegal,2013,0.172410062,0.646761878,0.122222475,2.891472585,0.467184257,3.298502168,0.920053825,43.5345,196,24.6,12.1181,6.503,AFR,SEN,18918.6677248817,13.595571,0.48187,2.270188,5.883091,8.569172
402,Senegal,2015,0.17295092,0.647368777,0.123728318,2.894515531,0.472349985,3.329604658,0.920909222,55.62485,189,24.1,11.8126,6.109,AFR,SEN,17774.7666961759,14.356191,0.493716,2.363626,6.192789,9.002449
403,Seychelles,2002,0.24080761,0.565694234,0.179952502,3.337124758,0.778803336,2.951102408,0.852624925,91.83646,185,19.0,8.84,7.7,AFR,SYC,742.13483750919,0.082448,0.001419,0.007126,0.022791,0.037876
404,Seychelles,2010,0.243318946,0.566103064,0.183356265,3.316371591,0.780716869,2.896494977,0.860862777,93.95423,251,14.2,7.42,7.4,AFR,SYC,981.917973654922,0.092424,0.001631,0.00807,0.022427,0.038006
405,Seychelles,2015,0.246090284,0.565917322,0.192355012,3.304571559,0.785783148,2.885492391,0.858817668,95.32108,236,13.7,7.65,7.5,AFR,SYC,1391.42796733495,0.09926,0.001646,0.00834,0.023153,0.038542
406,Sierra Leone,2004,0.162587108,0.62305136,0.099217847,2.889144807,0.471310748,3.57607431,0.912583223,34.82679,496,31.2,10.9578,17.491,AFR,SLE,1430.21708066487,5.533329,0.213429,0.964453,2.429864,3.493059
407,Sierra Leone,2013,0.164131106,0.623461337,0.104646174,2.876716194,0.482225839,3.585279459,0.933978765,32.42617,393,28.4,11.3464,11.372,AFR,SLE,4920.34331687093,6.964867,0.237734,1.110319,2.960645,4.336691
408,Sierra Leone,2014,0.164417349,0.623698574,0.105672899,2.877007839,0.485009406,3.583567616,0.934882491,47.18624,446,28.7,10.9548,11.219,AFR,SLE,5015.1807253416,7.1407,0.23763,1.1211,3.012207,4.430853
409,Sierra Leone,2015,0.164737236,0.62399434,0.106720717,2.877733083,0.488934796,3.582731433,0.935654941,48.4319,404,30.4,10.5273,10.712,AFR,SLE,4252.02935382191,7.314779,0.2375,1.128874,3.058626,4.521217
410,Singapore,2000,0.270336445,0.728755134,0.440828953,3.663335744,0.886009698,3.894924889,0.491084707,92.5494,58,6.5,11.4247,4.5,WPR,SGP,96076.5399257409,4.053602,0.046752,0.246809,0.773511,1.325019
411,Singapore,2010,0.272570833,0.731991836,0.507885856,3.714977671,0.905922257,3.417824824,0.471783264,95.85733,60,5.1,8.23,4.4,WPR,SGP,239807.98059124,5.163585,0.043014,0.218663,0.735859,1.489003
412,Singapore,2011,0.272711571,0.731969276,0.514790418,3.718909626,0.90721969,3.417160112,0.47263661,96.18604,59,4.6,7.86,4.5,WPR,SGP,279356.49909045803,5.281351,0.046033,0.221749,0.736815,1.50358
413,Singapore,2012,0.272859735,0.731865379,0.521608991,3.722630466,0.908717942,3.417503371,0.474361322,96.36979,57,3.5,9.16,4.5,WPR,SGP,295092.888076589,5.381003,0.047334,0.227477,0.742348,1.516901
414,Singapore,2013,0.273013249,0.731693168,0.528681565,3.725905567,0.909870404,3.419185763,0.476669731,96.54802,56,3.2,8.49,4.6,WPR,SGP,307576.360584992,5.478063,0.046167,0.230006,0.740991,1.523817
415,Singapore,2014,0.273207725,0.731506377,0.535815872,3.728490187,0.910807636,3.421480585,0.479607888,96.71669,55,3.1,8.22,4.7,WPR,SGP,314863.58075845503,5.570505,0.04409,0.227369,0.731159,1.522337
416,Singapore,2015,0.273445334,0.731293349,0.542394532,3.729619007,0.912166592,3.425720423,0.483158825,96.82549,54,3.0,7.56,4.8,WPR,SGP,307998.545269398,5.65002,0.044797,0.223408,0.718304,1.51158
417,Singapore,2016,0.27373756,0.731009829,0.547687655,3.730090544,0.913157476,3.429959661,0.487147648,97.04956,51,2.7,7.3,4.8,WPR,SGP,319030.057631089,5.711936,0.048592,0.224856,0.710758,1.493827
418,Solomon Islands,2011,0.208774444,0.426976027,0.089354254,3.202625269,0.684437689,3.178369456,1.13613515,84.1,165,17.4,18.5433,5.544,WPR,SLB,1063.89536069907,0.553727,0.018073,0.085444,0.227215,0.333359
419,South Africa,2007,0.179561938,0.632909032,0.205882087,4.0555803,1.074658358,3.74469559,1.600888047,88.71725,475,32.4,27.4165,12.973,AFR,ZAF,333077.11725368403,49.996096,1.078235,4.94326,14.826749,26.236258
420,South Africa,2009,0.180477611,0.634574145,0.209829604,4.005829832,1.053356206,3.708588743,1.655148418,92.89486,435,28.6,29.2416,11.947,AFR,ZAF,329754.060647129,51.17078,1.147757,5.329688,14.849213,26.336796
421,South Africa,2010,0.180769782,0.635102793,0.21079526,3.99512451,1.042054258,3.699950401,1.663578901,92.87732,416,28.6,26.9164,11.257,AFR,ZAF,417363.822801713,51.78493,1.120349,5.448761,14.880839,26.342798
422,South Africa,2011,0.180965038,0.635429768,0.211381564,3.993370326,1.028783176,3.699571265,1.658580625,93.10214,397,27.8,24.4307,10.592,AFR,ZAF,458199.494830834,52.44332,1.129399,5.542693,14.957477,26.327276
423,South Africa,2012,0.181157881,0.635726386,0.212119329,3.99188977,1.014193683,3.700293991,1.649823218,93.72947,361,26.5,24.6346,9.993,AFR,ZAF,434400.545085811,53.145036,1.14953,5.628508,15.108205,26.290548
424,South Africa,2014,0.181524255,0.636220651,0.213669596,3.990246707,0.980083994,3.708790224,1.621200611,94.1399,316,24.0,25.2779,9.432,AFR,ZAF,381198.869776106,54.729556,1.170668,5.698088,15.540396,26.256724
425,South Africa,2015,0.181686454,0.636405039,0.214093981,3.990261602,0.96140566,3.717595237,1.601342455,94.36792,305,24.1,25.5519,9.259,AFR,ZAF,346709.790458563,55.876504,1.169598,5.754293,15.79928,26.38272
426,Spain,2004,0.28048063,0.976320784,0.664298021,5.050649728,1.418556195,3.373110087,0.837302538,97.16512,46,11.7,6.42,8.6,EUR,ESP,1069055.67527375,42.95967,0.449133,2.146169,6.21256,11.582214
427,Spain,2005,0.280451854,0.978228207,0.670520729,5.076250591,1.42801437,3.358963377,0.838728781,97.75069,44,10.6,5.97,8.8,EUR,ESP,1153715.82271751,43.685372,0.461088,2.218549,6.320838,11.587426
428,Spain,2006,0.280387969,0.977790269,0.679390195,5.111355677,1.428885007,3.362960776,0.846887618,97.75214,43,9.6,5.57,8.3,EUR,ESP,1260398.97783176,44.422824,0.475329,2.291081,6.452873,11.633446
429,Spain,2007,0.280271733,0.977331342,0.690879841,5.161164915,1.422732076,3.386967716,0.863535704,97.93884,43,8.7,5.4,8.5,EUR,ESP,1474002.57982,45.245784,0.488796,2.368036,6.603923,11.743448
430,Spain,2008,0.280144324,0.976918944,0.702687524,5.212749854,1.414857579,3.416201479,0.882635681,97.63061,70,6.9,5.78,8.4,EUR,ESP,1631863.4935523402,45.966544,0.506718,2.441305,6.758694,11.852338
431,Spain,2009,0.28004663,0.976658774,0.712881733,5.253632592,1.40840613,3.441261696,0.898174308,97.67927,67,6.0,5.62,8.3,EUR,ESP,1491472.9237066398,46.367772,0.50675,2.486034,6.884409,11.870716
432,Spain,2010,0.280010011,0.976577412,0.719541995,5.271058859,1.408640103,3.454534437,0.904202919,97.7489,65,5.4,5.05,8.2,EUR,ESP,1422108.19978334,46.572776,0.488993,2.497563,6.973611,11.830991
433,Spain,2011,0.280046696,0.976612088,0.723787691,5.272377747,1.412485431,3.460589669,0.903373373,97.78375,63,4.7,5.1,8.3,EUR,ESP,1480710.49571012,46.72923,0.47981,2.487524,7.0452,11.794984
434,Spain,2012,0.280139341,0.976648884,0.726458442,5.274071104,1.417658597,3.47057474,0.902212816,97.89454,61,4.3,5.63,8.6,EUR,ESP,1324750.738725,46.756084,0.464457,2.449695,7.083377,11.739577
435,Spain,2013,0.280296688,0.976705062,0.729312639,5.275747581,1.426119531,3.48088208,0.900544604,98.07913,59,4.0,6.16,8.3,EUR,ESP,1355579.53591255,46.60346,0.439098,2.371719,7.078412,11.640568
436,Spain,2014,0.280512251,0.976731648,0.732196081,5.277068987,1.435110226,3.491549703,0.898279336,98.09372,58,4.2,6.21,8.5,EUR,ESP,1371820.53788862,46.464548,0.42568,2.288692,7.057975,11.551784
437,Spain,2015,0.280800531,0.976792541,0.733379421,5.278340958,1.446569338,3.506859465,0.895117114,98.14326,58,4.2,5.64,9.1,EUR,ESP,1196156.97127969,46.431344,0.422938,2.229773,7.037228,11.506555
438,Spain,2016,0.281139274,0.976830739,0.733354136,5.279232353,1.456722709,3.522660875,0.890793746,98.25051,56,4.1,5.54,8.8,EUR,ESP,1233554.96701168,46.47332,0.414658,2.176751,7.015303,11.490299
439,Sri Lanka,2001,0.22570783,0.560198011,0.122497722,3.303534458,0.666367404,3.620191536,1.10921336,90.68275,222,15.3,22.3786,7.958,SEAR,LKA,15749.7538048344,18.920278,0.344423,1.638012,5.019335,8.61452
440,Sri Lanka,2006,0.229760441,0.565501695,0.130167199,3.343777533,0.668991797,3.513483574,1.065065599,90.80883,209,14.4,18.4051,7.576,SEAR,LKA,28279.8024059138,19.870706,0.363291,1.778775,5.132125,8.506307
441,Sri Lanka,2008,0.2309043,0.566129475,0.134148881,3.35107262,0.666132409,3.485302709,1.040652448,90.55795,249,14.2,17.4714,7.77,SEAR,LKA,40713.8262150093,20.28564,0.367675,1.812216,5.204874,8.510571
442,Sri Lanka,2010,0.232103022,0.566732585,0.138607532,3.356973857,0.663688707,3.466103386,1.016418731,91.18136,190,14.2,21.8653,7.369,SEAR,LKA,58636.161081712,20.668556,0.359846,1.824449,5.274244,8.554728
443,Sri Lanka,2015,0.236051127,0.568385898,0.152627971,3.36690569,0.664021601,3.446116998,0.967582099,92.61417,190,13.9,14.6994,6.98,SEAR,LKA,85140.95538885091,21.336692,0.340469,1.749351,5.331526,8.608489
444,Sri Lanka,2016,0.237026966,0.568731516,0.155747584,3.368449165,0.664478779,3.444301145,0.958812646,92.3869,191,14.7,14.1734,6.896,SEAR,LKA,88012.2822058357,21.425494,0.332516,1.725975,5.307105,8.585382
445,Sudan,2000,0.170029186,0.738878219,0.116574618,4.81593681,1.220315732,3.786425501,0.640798644,61.34587,284,25.5,5.56,9.699,EMR,SDN,12257.2991472936,26.298778,0.942191,4.361686,11.826364,17.423436
446,Sudan,2008,0.173042282,0.742510472,0.130155513,4.860351206,1.279501579,3.786997629,0.641441275,53.51738,250,24.7,5.19,8.381,EMR,SDN,64833.083257143095,32.06524,1.129333,5.109011,13.541587,20.48012
447,Sudan,2015,0.175416683,0.746422594,0.14341345,4.890962976,1.392090694,3.78289608,0.646410808,58.60132,227,25.1,4.89,7.012,EMR,SDN,84984.666745108,38.171172,1.316486,6.158633,16.024558,23.6394
448,Suriname,2004,0.1834895,0.862066807,0.264648067,4.513035657,0.69235082,3.927429276,1.746650691,89.59806,216,29.4,26.6292,8.494,AMR,SUR,1484.09253840527,0.510588,0.011281,0.055692,0.155475,0.250565
449,Suriname,2008,0.184765556,0.864316363,0.279360586,4.528492525,0.686334356,4.003284889,1.765620367,94.62094,200,24.4,26.7012,7.452,AMR,SUR,3532.96903460838,0.533939,0.011069,0.055638,0.161118,0.255627
450,Suriname,2010,0.185436413,0.865460053,0.287533796,4.536962815,0.681531048,4.02765806,1.771608352,94.67575,194,19.5,27.4213,7.109,AMR,SUR,4368.37099792126,0.546085,0.010937,0.055037,0.163203,0.257046
451,Suriname,2012,0.185819838,0.866393424,0.29368835,4.544446827,0.68411897,4.028037449,1.770512896,92.86866,188,15.7,26.823,7.418,AMR,SUR,4980.0,0.558111,0.01086,0.05445,0.164281,0.259054
452,Suriname,2015,0.186523801,0.868295959,0.303177947,4.558143654,0.69175457,4.005940166,1.766552872,95.53899,182,11.4,25.9135,7.215,AMR,SUR,5126.23764622072,0.575478,0.010825,0.053967,0.16389,0.26254
453,Sweden,2003,0.280626848,1.062509429,0.519966311,5.326195894,0.617815193,4.551847429,1.684414248,99.0,68,6.0,11.6806,10.4,EUR,SWE,334337.212322076,8.961506,0.097376,0.466715,1.603241,2.668179
454,Switzerland,2003,0.26042706,0.952569756,0.551173043,5.352210209,1.195468752,3.957172054,1.436158487,99.0,71,7.7,13.8352,8.6,EUR,CHE,362075.08650776,7.330729,0.071767,0.369837,1.217804,2.076715
455,Thailand,2000,0.224566326,0.536608699,0.143908755,3.29135023,0.903439309,3.090919502,0.941827988,92.64654,204,39.0,11.5867,6.043,SEAR,THA,126392.224253794,63.066604,0.855626,4.659042,15.171294,25.411652
456,Thailand,2005,0.227950396,0.540280311,0.150723869,3.310819714,0.917914894,3.128015926,0.888715681,93.50647,183,38.9,8.52,6.323,SEAR,THA,189318.408468595,65.82136,0.827105,4.196117,14.051881,24.611004
457,Thailand,2010,0.230748596,0.540729462,0.160564185,3.316719281,0.789128966,3.102539597,0.866558349,96.43091,161,38.3,7.29,6.307,SEAR,THA,341104.76632917,68.27049,0.810606,4.076776,13.168815,23.213238
458,Thailand,2013,0.232316316,0.541419043,0.166388182,3.320248059,0.7954568,3.092496252,0.877508429,93.70207,211,36.0,6.59,6.547,SEAR,THA,420333.654592547,69.5786,0.795584,4.042265,12.534297,22.645824
459,Thailand,2015,0.233555814,0.542134735,0.169914086,3.324272792,0.811829619,3.085863643,0.892095241,92.86831,205,32.8,7.15,6.724,SEAR,THA,401296.238228084,70.29441,0.751912,3.9416,12.232957,22.166186
460,Togo,2000,0.163296725,0.626490136,0.104917291,2.901275366,0.442231135,3.628533404,0.964922013,53.1776,322,30.1,17.2777,11.898,AFR,TGO,1491.89115627182,5.008043,0.180523,0.822312,2.149458,3.165897
461,Togo,2006,0.163341757,0.627208167,0.103857419,2.901280048,0.457143139,3.648626155,0.961789658,56.88837,332,31.2,19.1923,10.919,AFR,TGO,2351.5844958792,5.874244,0.206706,0.957922,2.475736,3.647802
462,Togo,2009,0.163469181,0.628094812,0.103037477,2.900811171,0.460778395,3.653437089,0.968085647,57.09338,321,31.3,18.4733,10.488,AFR,TGO,4721.88827526937,6.398626,0.225403,1.038919,2.676162,3.938358
463,Togo,2011,0.163580108,0.628335101,0.103011359,2.901165162,0.463776539,3.654931632,0.96858008,60.40994,291,31.1,18.1197,9.98,AFR,TGO,5422.43915210906,6.748675,0.23498,1.09735,2.820672,4.136167
464,Togo,2015,0.164136871,0.628999572,0.105882682,2.906180185,0.478484116,3.655250581,0.966935123,63.74562,271,29.9,16.6917,9.165,AFR,TGO,5755.45783601866,7.473232,0.244621,1.171049,3.097259,4.532031
465,Tonga,2006,0.234545835,0.461691598,0.121683957,3.277201952,0.742016928,2.918850021,1.093590327,99.01846,148,14.7,4.73,6.627,WPR,TON,292.23066239901203,0.106202,0.002954,0.014565,0.040717,0.061135
466,Tonga,2011,0.235198325,0.462130002,0.122581555,3.288554331,0.752465019,2.915981027,1.126622218,99.38553,141,8.7,5.21,6.624,WPR,TON,414.533117692299,0.107625,0.002942,0.014163,0.040257,0.060449
467,Tonga,2015,0.235639209,0.462477615,0.124463404,3.294250717,0.759888296,2.917979949,1.135172322,99.39786,135,6.9,5.3,6.782,WPR,TON,437.003078563584,0.10614,0.002698,0.013569,0.039017,0.058791
468,Trinidad and Tobago,2000,0.171997592,0.8919596,0.300616881,4.600249008,0.693944518,3.38088506,1.569753395,97.9,202,13.6,16.1939,6.98,AMR,TTO,8154.33823295978,1.332203,0.019774,0.098239,0.343701,0.615056
469,Trinidad and Tobago,2004,0.173586069,0.893342673,0.327310599,4.60629904,0.711536749,3.337394203,1.633605535,98.28851,196,17.9,12.5825,6.493,AMR,TTO,13280.2751230354,1.36118,0.01984,0.098074,0.308183,0.588269
470,Trinidad and Tobago,2014,0.17718537,0.898117048,0.386249404,4.628612266,0.726932353,3.341931761,1.734627916,98.91949,174,14.8,9.83,6.739,AMR,TTO,29699.9687607278,1.450663,0.020079,0.101638,0.297809,0.502837
471,Trinidad and Tobago,2015,0.177349444,0.89823015,0.388210058,4.629013951,0.728199559,3.337388042,1.731301596,98.96958,173,13.1,9.54,6.797,AMR,TTO,27026.080986578,1.46018,0.01974,0.100925,0.298293,0.498549
472,Tunisia,2004,0.195796341,0.833153223,0.178564661,5.02374812,1.473444926,3.924030526,0.635389546,74.297,133,23.4,3.78,4.939,EMR,TUN,31183.8852414396,10.29223,0.168326,0.812885,2.733671,4.897002
473,Tunisia,2007,0.196607786,0.835042107,0.185193758,5.04004507,1.533060134,3.918449054,0.641788219,77.1904,131,23.7,3.57,5.076,EMR,TUN,38915.353866757,10.580399,0.176504,0.854546,2.624809,4.778234
474,Tunisia,2008,0.196860428,0.835692852,0.187277937,5.045102489,1.568642365,3.912734829,0.646329993,77.71462,129,24.0,3.47,5.169,EMR,TUN,44859.4399022191,10.680381,0.180425,0.872609,2.60289,4.739761
475,Tunisia,2010,0.197241717,0.836726244,0.191281856,5.053182379,1.623612845,3.907510639,0.652035086,79.13058,74,23.9,3.37,5.329,EMR,TUN,46206.0919379628,10.895063,0.191997,0.911373,2.593228,4.670018
476,Tunisia,2011,0.197361217,0.837061272,0.192615522,5.056062841,1.638565949,3.906963014,0.652421318,79.65391,74,23.7,3.29,5.441,EMR,TUN,48123.3258250739,11.032529,0.200993,0.937038,2.609141,4.650242
477,Tunisia,2012,0.197489351,0.837398174,0.194310511,5.058981242,1.652242755,3.906417054,0.652762868,80.21875,74,22.9,3.24,5.519,EMR,TUN,47311.4018126733,11.174384,0.208929,0.968242,2.640763,4.637413
478,Tunisia,2014,0.197750549,0.83802765,0.197054013,5.064682887,1.67863856,3.908432693,0.653095269,79.03643,74,22.8,3.1,5.715,EMR,TUN,50271.812920612,11.428953,0.216899,1.034421,2.742543,4.626151
479,Tunisia,2015,0.197875393,0.838309996,0.198399104,5.067419069,1.689314512,3.910004107,0.652983372,81.05419,73,22.9,3.03,5.811,EMR,TUN,45779.49404192949,11.557779,0.218154,1.061326,2.802116,4.631163
480,Turkmenistan,2005,0.187161127,0.662244984,0.15182594,2.556312637,0.486126395,2.878486899,2.724894679,99.4,234,17.2,15.8141,6.869,EUR,TKM,8103.90199637024,4.88578,0.103768,0.500447,1.608603,2.658754
481,Turkmenistan,2014,0.194234444,0.666523937,0.187400758,2.559545029,0.516583248,2.819413678,2.741358166,99.67285,199,16.3,7.11,6.567,EUR,TKM,43524.2105263158,5.663159,0.144608,0.675426,1.712027,2.81752
482,Turkmenistan,2015,0.195235901,0.66717397,0.191800102,2.561598407,0.51793329,2.818218156,2.667950698,99.69293,198,16.4,6.62,6.53,EUR,TKM,35799.714285714304,5.766427,0.145691,0.695013,1.754244,2.840448
483,Uganda,2002,0.154568781,0.604369012,0.100537426,3.466769736,0.538229827,5.451290971,1.299360215,68.14251,510,33.3,20.4827,14.083,AFR,UGA,6178.56359112051,25.545098,1.137836,5.127655,12.914591,17.89854
484,Uganda,2006,0.156137166,0.605145287,0.105354936,3.464904254,0.533664649,5.388013994,1.295823708,71.37314,418,31.8,20.1469,10.77,AFR,UGA,9977.64768296954,28.77323,1.234356,5.691435,14.525768,20.339396
485,Uganda,2010,0.158033211,0.606816876,0.110979739,3.48006394,0.53385843,5.185020412,1.2848956,73.21188,364,32.3,14.6431,8.832,AFR,UGA,26673.4414307857,32.341724,1.325057,6.19907,16.137675,22.96063
486,Uganda,2012,0.158648199,0.607709423,0.113393109,3.489902198,0.534956006,5.110315825,1.287679359,70.19822,335,29.5,13.2268,7.843,AFR,UGA,27305.915910787706,34.273296,1.36944,6.451535,16.960734,24.298084
487,Uganda,2015,0.159609276,0.609274978,0.117042311,3.510482147,0.539442214,4.996004162,1.292387106,73.80984,293,30.3,11.0416,6.648,AFR,UGA,32387.1837301002,37.477356,1.420344,6.800902,18.177008,26.334912
488,Ukraine,2001,0.186118192,0.68330407,0.145148656,2.903718287,0.651396897,4.497791402,5.249041441,99.43041,254,17.8,31.206,15.3,EUR,UKR,39309.5809832282,48.414536,0.359163,2.011117,8.13843,15.497511
489,Ukraine,2012,0.190496579,0.686897867,0.168717027,2.940689197,0.677110562,4.13142972,4.955688573,99.97435,211,15.5,19.0152,14.5,EUR,UKR,182591.753827949,45.406228,0.508174,2.497175,6.576073,12.356833
490,Ukraine,2014,0.190807449,0.687163841,0.171129066,2.941349825,0.689524949,4.100436886,4.880967436,99.75347,212,13.7,20.3935,14.7,EUR,UKR,133503.87186172302,45.14807,0.494325,2.501033,6.753207,11.957724
491,Ukraine,2015,0.190896847,0.687256924,0.171895337,2.941461133,0.696881575,4.090186625,4.826953798,99.76411,188,12.9,17.8746,14.9,EUR,UKR,91030.9677890717,44.98257,0.459938,2.45646,6.822735,11.765717
492,United Arab Emirates,2005,0.211352549,0.806885187,0.290943572,4.280132617,2.68798684,2.969513107,0.76016267,90.03385,91,18.7,6.76,1.563,EMR,ARE,180617.467964602,4.280995,0.061074,0.292199,0.813559,1.611768
493,United Arab Emirates,2015,0.21185454,0.804645806,0.259418455,4.235686278,2.985104671,2.859825078,0.760746066,92.98637,75,18.1,5.25,1.014,EMR,ARE,370275.469560166,8.916909,0.102817,0.522185,1.27671,2.863437
494,Uruguay,2006,0.196168011,0.776440511,0.34543553,6.269675039,0.925666551,3.484572034,1.032685137,97.78963,157,14.5,13.7935,9.206,AMR,URY,19741.420739890094,3.322282,0.049072,0.24712,0.775901,1.274856
495,Uruguay,2007,0.196403456,0.776908232,0.348731351,6.274476054,0.934328089,3.494910986,1.059835568,97.86389,165,14.4,15.7926,9.249,AMR,URY,23797.7730243992,3.328647,0.048401,0.244791,0.769628,1.270921
496,Uruguay,2008,0.196687639,0.777436135,0.353480398,6.279515677,0.942012115,3.505361058,1.092823518,98.16356,156,15.9,13.512,9.29,AMR,URY,31119.6025388322,3.336131,0.047912,0.242496,0.763096,1.267404
497,Uruguay,2009,0.196967632,0.778004764,0.35911973,6.284727407,0.947733423,3.514906264,1.122794055,98.26723,157,16.5,13.3725,9.332,AMR,URY,32708.3190775179,3.344161,0.047593,0.24066,0.755934,1.263989
498,Uruguay,2010,0.197160143,0.778441618,0.36375798,6.288983185,0.950791378,3.522625776,1.140925902,98.07271,156,17.1,14.2563,9.369,AMR,URY,41950.3612119581,3.352653,0.047417,0.238823,0.748144,1.260284
499,Uruguay,2011,0.19731161,0.778796177,0.368551249,6.292557837,0.950216539,3.531081358,1.14993178,98.3359,155,17.5,15.024,9.402,AMR,URY,50342.406067077696,3.361631,0.047364,0.237258,0.740543,1.256265
500,Uruguay,2012,0.197510704,0.779205534,0.374344257,6.296650615,0.948192086,3.54272419,1.158649722,98.39594,156,15.6,16.0975,9.434,AMR,URY,54232.2663587811,3.371134,0.047399,0.236375,0.733575,1.252596
501,Uruguay,2013,0.197752885,0.779671287,0.379651333,6.300965627,0.946045603,3.555893642,1.167107518,98.36387,155,17.3,14.1573,9.468,AMR,URY,61337.6219337857,3.381187,0.047511,0.236079,0.727726,1.248296
502,Uruguay,2014,0.198023889,0.780174522,0.385983739,6.305186269,0.942263462,3.570160394,1.175063636,98.43593,150,16.3,15.7673,9.508,AMR,URY,61496.186973902,3.39166,0.047483,0.236068,0.722949,1.242559
503,Uruguay,2015,0.198323237,0.780699166,0.392487988,6.309359834,0.935037475,3.585182998,1.182337704,98.52387,149,15.3,16.6639,9.559,AMR,URY,57680.3279986689,3.40282,0.047699,0.236449,0.719411,1.237501
504,Uruguay,2016,0.198641431,0.781259706,0.39854629,6.313554663,0.927601839,3.600302571,1.188668773,98.56147,149,13.4,18.7011,9.628,AMR,URY,57480.788380312,3.413768,0.047135,0.236321,0.716255,1.232253
505,Vanuatu,2004,0.212881538,0.42553286,0.100826854,3.190845069,0.677333657,3.138796606,1.180761185,78.4,168,14.2,21.9375,5.718,WPR,VUT,364.996869129618,0.212431,0.006628,0.03159,0.087801,0.130388
506,Vanuatu,2014,0.214979823,0.427115423,0.105501889,3.216450386,0.683547277,3.140960451,1.211180144,84.7,136,14.8,21.1436,6.048,WPR,VUT,772.3159838184299,0.269942,0.008618,0.041532,0.106455,0.158662
