,Country,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
294,Morocco,2008,0.184194707,0.778360279,0.158754428,4.981684291,1.509504199,5.715824999,0.567350473,55.14792,81,23.7,9.76,6.018,EMR,MAR,101822.906949063,31.634996,0.651194,3.157346,9.361797,15.718693
295,Morocco,2009,0.184356333,0.778764177,0.160514818,4.982601183,1.539857217,5.707314049,0.569634207,56.08367,87,23.7,9.66,5.987,EMR,MAR,101154.952240881,32.04288,0.662649,3.196054,9.365368,15.704081
296,Morocco,2011,0.184731259,0.779459535,0.164069016,4.982794787,1.573677756,5.679566425,0.572186345,67.08416,78,20.9,9.49,5.91,EMR,MAR,110080.631332375,32.903708,0.685961,3.293181,9.441975,15.705711
297,Morocco,2012,0.184972842,0.779826009,0.165906134,4.982861201,1.587961698,5.652818415,0.573101581,69.42539,75,20.3,9.15,5.86,EMR,MAR,106937.392311129,33.352166,0.69436,3.345222,9.501277,15.721839
298,Morocco,2014,0.185552232,0.780600005,0.169518936,4.983580468,1.612359146,5.574991858,0.57449939,75.5862,72,19.8,7.9,5.741,EMR,MAR,119130.841411664,34.24861,0.696978,3.429103,9.637703,15.775829
299,Morocco,2015,0.185884357,0.781004328,0.171629058,4.984391655,1.623631163,5.526705337,0.5748942,71.71055,70,19.7,7.63,5.705,EMR,MAR,110413.823841592,34.680456,0.692534,3.447641,9.707059,15.791514
300,Myanmar,2000,0.193941179,0.50136132,0.079457698,3.237244383,0.569509508,2.233269181,0.849906028,89.94176,245,20.9,5.14,9.995,SEAR,MMR,8905.066163586429,45.53834,0.991506,4.855877,14.485251,23.688282
301,Myanmar,2014,0.210781479,0.509153253,0.117105251,3.304862381,0.570250417,2.274676177,0.869608298,92.92316,200,19.6,3.41,8.804,SEAR,MMR,65446.1969196813,51.072436,0.906532,4.498184,13.740911,22.90367
302,Myanmar,2015,0.211860709,0.509601651,0.120132131,3.307999168,0.572083652,2.282711799,0.870133684,93.09005,197,19.7,3.34,8.673,SEAR,MMR,59687.4117688224,51.483956,0.910627,4.486971,13.693292,22.843728
303,Myanmar,2016,0.212910437,0.510041854,0.122920492,3.311078146,0.574687603,2.290753581,0.87041788,75.5512,195,19.9,3.33,8.753,SEAR,MMR,63216.14349014231,51.89235,0.916933,4.489123,13.644887,22.783724
